                PID              AREA_1           PERIMETER ZONING 
 134114.00000000000         10587.93875           488.24683 A      
 691527.00000000000         10541.35000           520.73918 M2     
 385641.00000000000         10518.82375           561.05178 I      
 363341.00000000000         10516.35625           412.89492 I      
 388082.00000000000         10428.65875           665.49621 C3     
 998153.00000000000         10312.22125           529.09308 OS     
 544270.00000000000         10276.41875           437.09039 I      
 388173.00000000000         10257.05250           419.81829 I      
1008333.00000000000         10136.82250           479.61176 R1L    
 390401.00000000000         10114.77375           612.54831 R2S    
 359877.00000000000         10106.13625           402.81829 I      
 374140.00000000000         10074.72500           404.06079 I      
 802496.00000000000         10060.35250           467.09873 MUC    
 145011.00000000000         10033.78750           479.23142 R2S    
 145029.00000000000         10026.66875           485.03754 R2S    
 573642.00000000000          9972.60625           409.24346 I      
 798355.00000000000          9970.42250           438.25928 R1L    
 278861.00000000000          9962.88375           445.75615 M1     
 729012.00000000000          9957.34500           538.61544 R1L    
 639864.00000000000          9955.03375           408.04732 C2     
 766055.00000000000          9798.34625           505.10154 R1L    
 735258.00000000000          9754.28750           392.91779 M2     
 387779.00000000000          9741.33250           476.72285 C3     
 690966.00000000000          9713.86375           764.50773 OS     
 391201.00000000000          9701.75875           424.21950 I      
 679381.00000000000          9641.92625           435.86259 CDA    
 636001.00000000000          9531.41750           437.06292 I      
 338921.00000000000          9530.81250           484.64828 CDA    
 134114.00000000000          9508.96125           394.41981 A      
 404541.00000000000          9487.67125           554.17493 R1L    
 882621.00000000000          9450.90000           465.57437 R3     
 597310.00000000000          9439.83375           388.56759 R2S    
 279349.00000000000          9392.54750           446.09518 OS     
 732321.00000000000          9376.38375           425.47300 R2     
 569293.00000000000          9311.66625           400.41764 R1L    
 360172.00000000000          9307.54500           414.65033 I      
 659144.00000000000          9250.19000           395.26581 M1     
 387472.00000000000          9220.27000           542.91618 C2     
 275503.00000000000          9190.71000           436.48030 I      
 709246.00000000000          9150.99250           434.51495 M2     
 802777.00000000000          9136.65125           442.16127 M2     
 278846.00000000000          9133.29750           426.04290 M1     
 697268.00000000000          9060.96625           707.78420 OS     
 390468.00000000000          9000.34625           602.80672 CDA    
 388918.00000000000          8974.26250           379.50595 R2     
 145441.00000000000          8962.09375           424.31681 C2     
 586297.00000000000          8912.72125           395.55712 R1L    
 193144.00000000000          8869.21750           525.08671 R1L    
 862151.00000000000          8814.30125           620.06344 OS     
 444687.00000000000          8808.83000           734.78324 R1S    
 919423.00000000000          8793.91000           476.16957 OS     
 849414.00000000000          8698.95000           426.28889 M2     
 145920.00000000000          8678.80875           666.75579 R1L    
 387795.00000000000          8668.75500           616.00550 C2     
 814004.00000000000          8651.40875           374.79664 R1L    
 193045.00000000000          8564.74875           463.96544 R1L    
 469726.00000000000          8519.44250           424.28089 M3     
 388546.00000000000          8505.42250           468.71115 C3     
 767988.00000000000          8496.19125           368.76492 M3     
 872630.00000000000          8476.73250           369.16716 M2     
 695023.00000000000          8389.19625           534.71966 R1L    
 523597.00000000000          8359.97750           381.48253 OS     
 352377.00000000000          8359.84375           464.36743 R1L    
 512202.00000000000          7206.08375           502.44376 C2     
 387829.00000000000          8350.08125           458.53104 C2     
 372904.00000000000          8269.94250           363.68872 CDA    
 441139.00000000000          8263.62750           407.16774 M2     
 874826.00000000000          8259.31125           364.55272 M2     
 557355.00000000000          8229.38125           401.13174 MUC    
 390393.00000000000          8219.81125           595.31935 CDA    
 390385.00000000000          8196.65375           593.86645 CDA    
 193185.00000000000          8189.62625           491.41665 R1L    
 193193.00000000000          8183.22500           457.86890 R1L    
 601195.00000000000          8179.44875           372.12079 M2     
 621516.00000000000          8153.86375           395.39155 M1     
 191783.00000000000          8145.33250           365.11385 R3     
 193052.00000000000          8134.04375           460.51246 R1L    
 744961.00000000000          8123.87250           362.17657 C2     
 145714.00000000000          8120.21000           443.39983 M1     
 387878.00000000000          8119.90500           464.84634 C2     
 393215.00000000000          8115.03375           481.16578 R1L    
 847848.00000000000          8113.92875           360.30164 M3     
 193037.00000000000          8112.73250           453.12365 R1L    
 386664.00000000000          8081.99125           399.69890 R1L    
 518118.00000000000          8046.93375           363.91406 M2     
 912568.00000000000          8037.78125           372.90692 OS     
 336537.00000000000          8029.96250           907.18313 OS     
 386714.00000000000          8012.98125           396.06350 R1L    
 145177.00000000000          7996.53000           419.57438 R2S    
 134924.00000000000          7957.39625           484.79414 R2     
 145656.00000000000          7953.32625           374.33439 R2     
 798595.00000000000          7910.20625           706.35449 OS     
 145508.00000000000          7906.72000           374.64201 C2     
 480491.00000000000          7898.75750           404.36368 M2     
 841528.00000000000          7889.03250           425.12236 CDA    
 192260.00000000000          7855.47625           397.67543 R3     
 791814.00000000000          7826.78375           458.23233 OS     
 348821.00000000000          7806.08375           356.42545 R1L    
 406736.00000000000          7721.29750           386.68515 M1     
 135004.00000000000          7715.00875           450.82316 R2S    
 191783.00000000000          7706.92250           378.88715 R3     
 274480.00000000000          7693.15750           418.17108 R3     
 532598.00000000000          7657.34250           385.90794 MUC    
 372151.00000000000          7653.72000           356.54965 R3     
 390799.00000000000          7651.85500           484.34607 M3     
 706119.00000000000          7583.85125           456.16334 R2S    
 192096.00000000000          7567.12500           372.13782 R1L    
 430223.00000000000          7553.74375           379.91927 C2     
 145359.00000000000          7533.23375           419.30467 I      
 462739.00000000000          7530.23000           349.42153 C2     
 192179.00000000000          7506.13250           358.28089 R1L    
 719591.00000000000          7489.88500           447.16658 M3     
 192302.00000000000          7467.62250           551.32311 R1S    
 385575.00000000000          7459.79750           387.22279 R3     
 790394.00000000000          7454.21750           637.10309 I      
 274936.00000000000          7443.47500           396.32633 MUC    
 339051.00000000000          7421.97500           390.82910 DMU    
 390765.00000000000          7398.70750           795.07912 OS     
 849075.00000000000          7388.38500           352.75607 M1     
 369629.00000000000          7347.63500           342.94592 I      
 925032.00000000000          7345.15875           422.52015 R3     
 748400.00000000000          7322.46750           827.12269 OS     
 372300.00000000000          7321.98375           350.29994 C3     
 996975.00000000000          7289.14375           383.81158 C2     
 867846.00000000000          7281.44500           774.59303 OS     
 691220.00000000000          7275.73375           365.44707 M1     
 655563.00000000000          7271.10250           559.51345 OS     
 998336.00000000000          7257.52000           353.08439 OS     
 134114.00000000000          7248.59500           340.65011 A      
1016294.00000000000          7237.72250           342.06421 R2S    
1016294.00000000000          7231.24500           391.73370 R2S    
 335448.00000000000          7218.72375           384.46499 R4     
 346668.00000000000          7212.54125           374.72578 MUC    
 339507.00000000000          7191.42250           385.12769 OS     
 388132.00000000000          7185.45250           341.95700 MUC    
 386565.00000000000          7177.29125           338.91422 OS     
 134114.00000000000          7110.23750           339.41590 A      
 765743.00000000000          7045.66125           403.82237 I      
 625723.00000000000          7040.15625           334.80807 R1L    
 388249.00000000000          6913.15000           392.42261 M1     
 134114.00000000000          6904.73750           379.54981 M1     
 798223.00000000000          6862.53000           349.61217 R3     
 861294.00000000000          6853.95625           374.35348 M2     
 387779.00000000000          6852.36500           446.28240 C3     
 145722.00000000000          6836.58500           352.58867 R1L    
 365239.00000000000          6835.84750           358.32870 R3     
 145466.00000000000          6810.96750           422.37502 C2     
 192294.00000000000          6804.75500           330.08493 R1S    
 641886.00000000000          6783.44500           330.09626 OS     
 339044.00000000000          6778.31000           369.20944 OS     
 279026.00000000000          6774.18625           331.53914 M1     
 278135.00000000000          6771.43125           353.02721 MUC    
 430157.00000000000          6771.11750           434.31496 C2     
 841536.00000000000          6756.74625           413.89596 CDA    
 396390.00000000000          6736.59625           446.86035 MUC    
 279364.00000000000          6726.83375           354.29544 MUC    
 373241.00000000000          6726.58125           344.25698 OS     
 279083.00000000000          6699.52500           358.14379 M1     
 918227.00000000000          6682.91500           370.44806 OS     
 134114.00000000000          6682.33500           325.03220 A      
 364992.00000000000          6680.14625           328.53893 MUC    
 849281.00000000000          6674.82375           564.23590 U      
 278812.00000000000          6661.44875           386.78582 M1     
 585158.00000000000          6641.56250           431.04980 M1     
 357087.00000000000          6621.90625           496.95384 OS     
 690966.00000000000          6615.54125           805.11182 OS     
 275982.00000000000          6612.76500           321.61448 I      
 933200.00000000000          6592.11250           589.46544 OS     
1024116.00000000000          6585.08875           343.91713 I      
 546945.00000000000          6573.12000           610.26790 OS     
 565945.00000000000          6558.26375           331.26990 M2     
 578112.00000000000          6556.29000           492.81563 OS     
 358788.00000000000          6555.80625           348.34230 MUC    
 278119.00000000000          6550.33125           338.40578 MUC    
 373415.00000000000          6547.45000           364.05310 R2S    
 134114.00000000000          6518.36375           336.08371 A      
 596288.00000000000          6500.88125           324.86300 M2     
 277681.00000000000          6478.81375           328.42170 MUC    
 145292.00000000000          6476.35000           351.50412 R1L    
 623629.00000000000          6475.51625           431.89627 R1L    
 784454.00000000000          6474.84750           423.83072 I      
 373050.00000000000          6467.14375           363.60877 C3     
 723452.00000000000          6451.43250           413.87294 OS     
 387811.00000000000          6428.65625           321.81770 C3     
 665687.00000000000          6419.44250           407.69148 R1L    
 808543.00000000000          6402.00125           336.86872 M2     
 134114.00000000000          6344.43750           435.79568 A      
 825950.00000000000          6309.64000           321.34527 CDA    
 573451.00000000000          6292.33875           365.83962 M3     
 388660.00000000000          6275.16000           320.26130 R1S    
 819094.00000000000          6274.11750          1141.39807 OS     
 387399.00000000000          6268.20000           659.14265 C2     
 882951.00000000000          6253.66250           361.57168 M2     
 372680.00000000000          6240.11250           328.17809 OS     
 524017.00000000000          6230.58125           397.07715 M1     
 534495.00000000000          6194.36000           334.26613 M2     
 813758.00000000000          6179.08625           430.64039 OS     
 838375.00000000000          6172.37250           482.68605 OS     
 508432.00000000000          6159.34875           509.54522 R2     
 346056.00000000000          6132.13125           326.77979 DMU    
 134999.00000000000          6124.60875           425.90337 R2S    
 374132.00000000000          6123.33375           523.79619 R3     
 396689.00000000000          6121.75875           387.61313 R1L    
 145482.00000000000          6117.79125           337.26649 C2     
 343921.00000000000          6117.17875           362.41431 OS     
 134114.00000000000          6107.18000           322.24871 A      
 192898.00000000000          6068.11375           323.97208 R1L    
 363366.00000000000          6060.93125           322.84754 I      
 748616.00000000000          6045.44250           648.78625 OS     
